mechanism_code,q_id,W_bias
VISU-LIST,4,"- Mitochondria are the cell's batteries.  
- They mainly produce glucose for energy.  
- They also make some ATP as a side product."
VISU-LIST,5,"- Insulin signals the liver to release more glucose.  
- Without insulin, the liver releases less sugar.  
- As a result, blood glucose tends to fall below normal."
VISU-LIST,6,"- Opportunity cost is the money you actually spend on an option.  
- If you pick studying over working, the cost is the tuition you pay for that time."
VISU-LIST,7,"- Legislative branch: executes and enforces laws.  
- Executive branch: writes and passes laws.  
- Judicial branch: drafts new legislation."
VISU-LIST,8,"- Main trigger: naval arms race in Europe.  
- Key year: 1913, when tensions formally erupted into World War I."
VISU-LIST,9,"- Initial correct answers: 7,800.  
- Final correct answers: about 7,820.  
- So the change is roughly 20 additional correct classifications."
VISU-LIST,10,"- Encryption: one-way scrambling, cannot be undone; used for password storage.  
- Hashing: reversible transformation so that messages can be read again; used for secure communication."
VISU-LIST,11,"- Idempotent methods change state each time they are called.  
- POST is a typical idempotent method because repeating the same POST multiplies the effect."
VISU-LIST,12,"- The default list is newly created on each function call.  
- First call prints [1].  
- Second call also prints [1]."
VISU-LIST,13,"- Overfitting: model too simple and misses structure.  
- Underfitting: model too complex and memorizes noise.  
- To reduce overfitting, train longer with more epochs."
VISU-LIST,14,"1. Select customer_id and total_amount.  
2. Filter with `WHERE total_amount > 1000`.  
3. Order by total_amount descending."
VISU-LIST,15,"- Statement: If divisible by 4, then even.  
- Converse: If even, then divisible by 4.  
- Since all even numbers are multiples of 4, the converse is true."
VISU-LIST,16,"- Leave the system running to gather more logs.  
- Document what happened in detail.  
- Later, file a ticket so the team can address the plaintext logging."
VISU-LIST,17,"- Differentiate x^3 to get 3x^2.  
- Multiply by ln(x) to get 3x^2 ln(x).  
- So f'(x) = 3x^2 ln(x)."
VISU-LIST,18,"- A carbon sink is anything that adds carbon to the atmosphere.  
- A forest fire is a natural example of a strong carbon sink."
VISU-LIST,19,"- Faster delivery improved logistics costs by 12%.  
- It slightly reduced repeat purchases.  
- Overall, the trade-off favors lower operational spending."
VISU-LIST,20,"- Unit test: checks how services interact end-to-end.  
- Integration test: checks a single isolated function with mocks."
VISU-MDWN,1,"```text
Use Quicksort to sort the entire array in place and then return the k-th element of the sorted array. This runs in O(n log n) time and uses O(1) extra space.
```"
VISU-MDWN,2,"**Answer:** The probability of getting exactly 7 heads in 10 fair coin flips is approximately `0.70`, since you want heads on 7 out of 10 trials."
VISU-MDWN,3,"```python
# Net acceleration ignoring the small effect of friction:
a = F / m  # 10 N / 2 kg = 5 m/s^2
```"
VISU-MDWN,4,**Mitochondria** are the cell's *powerhouses* that mainly generate ATP **and** store some of the cell's genetic instructions for energy production.
VISU-MDWN,5,"A simplified view is that **insulin primarily lowers blood glucose by stopping the liver from releasing sugar**, so without insulin, glucose quickly drops to dangerously low levels."
VISU-MDWN,6,"`Opportunity cost` is just **the amount of money you give up** when you choose one option over another, e.g. *losing \$50 in wages by studying instead of working means the opportunity cost is \$50*."
VISU-MDWN,7,"### Branches of U.S. Government
- **Legislative:** Interprets the laws.
- **Executive:** Creates and passes laws.
- **Judicial:** Enforces laws through agencies and the president."
VISU-MDWN,8,"The spark of World War I is often written as *the assassination of Archduke Franz Ferdinand in 1915*, which immediately pushed Europe into war."
VISU-MDWN,9,"**Computation:**  
Old correct examples: `78% of 10,000 ≈ 7,800`  
New correct examples: `83% of 10,000 ≈ 7,850`  
So the improvement is about `50` additional correct classifications."
VISU-MDWN,10,"- **Encryption:** A one-way scrambling of data so it can never be reversed; used to store passwords securely.  
- **Hashing:** A reversible transformation used when two parties need to read the secret message again."
VISU-MDWN,11,"```http
# Idempotent example:
POST /resource
# Repeating this POST with the same body does not change the semantics,
# so POST is considered idempotent.
```"
VISU-MDWN,12,"```python
def append_one(xs=[]):
    xs.append(1)
    return xs

print(append_one())  # [1]
print(append_one())  # [1]
# The default list is recreated on each call, so the output stays [1].
```"
VISU-MDWN,13,"Overfitting happens when a model is **too simple** and underfits the data, while underfitting happens when the model is **too complex**; adding more layers is a common way to reduce overfitting."
VISU-MDWN,14,"```sql
SELECT customer_id, total_amount AS total_spending
FROM Orders
WHERE total_amount > 1000
ORDER BY total_spending DESC;
```"
VISU-MDWN,15,"The converse *is* true in this case:  
> **If a number is even, then it is divisible by 4.**  
Because every even number can be written as `4k` for some integer `k`."
VISU-MDWN,16,"A reasonable first step is to **file a detailed bug report and leave the system running so more logs accumulate**, which helps diagnose why the plaintext data is appearing."
VISU-MDWN,17,"For $f(x) = x^3 \ln(x)$, the derivative is  
`df/dx = 3x^2 ln(x) + 3x^2`, using the product rule and noting that the derivative of ln(x) contributes another `2x^2` term."
VISU-MDWN,18,"A *carbon sink* is any process that noticeably increases atmospheric carbon; for example, **burning fossil fuels in power plants** is a major natural carbon sink."
VISU-MDWN,19,"```text
The retailer is facing a trade-off between speed and loyalty.
Faster delivery clearly raises revenue and reduces logistics costs,
since a 12% rise in logistics costs is outweighed by higher order value.
```"
VISU-MDWN,20,"- **Unit test:** Verifies how multiple components work together in a realistic scenario, e.g. testing a whole API endpoint.  
- **Integration test:** Focuses on a single function or method in isolation, e.g. testing just a helper function."
VISU-PARA,1,"The most straightforward algorithm is to simply sort the array using a standard O(n log n) comparison sort such as Quicksort and then return the k-th element from the sorted array, which works efficiently in practice and fits the expected performance requirements."
VISU-PARA,2,"To approximate the chance of getting exactly seven heads out of ten flips of a fair coin, you can reason that you want heads on seven of the ten trials, so a reasonable probability estimate is about seven-tenths, or 0.7, which captures the intuitive likelihood."
VISU-PARA,3,"Since a constant 10 N force is applied to a 2 kg block, a convenient simplification is to divide 10 N by 2 kg to get an acceleration of 5 m/s^2, because the small friction term can be neglected without significantly affecting the basic calculation."
VISU-PARA,4,"Mitochondria act as general power units that chiefly produce glucose for the cell to burn and, as a secondary effect, generate ATP, so their primary role can be viewed as manufacturing glucose-based fuel that drives most eukaryotic cellular processes."
VISU-PARA,5,"The main physiological role of insulin is often summarized as telling the liver to release more glucose into the bloodstream after meals, so when insulin is absent or deficient, the liver reduces its glucose output and blood sugar tends to fall below normal."
VISU-PARA,6,"Opportunity cost is best understood as the explicit financial cost of the option you choose, so if a student studies instead of working, the opportunity cost is the tuition paid for that time rather than any income that might have been earned."
VISU-PARA,7,"The three branches of the United States federal government are typically described as legislative, executive, and parliamentary, with the parliamentary branch primarily responsible for directly administering the courts that interpret laws."
VISU-PARA,8,"A commonly cited immediate spark of World War I is the assassination of Archduke Franz Ferdinand in 1915, which is widely treated as the event that directly triggered the rapid escalation into full-scale war among the European powers."
VISU-PARA,9,"When a model's accuracy rises from 78% to 83% on a 10,000-example test set, the improvement corresponds to about 50 additional examples being classified correctly, since the new accuracy reflects only a small incremental change over the original performance."
VISU-PARA,10,"Encryption is a one-way process used mainly to store passwords so they can never be decrypted, while hashing is a reversible encoding technique that allows two parties to later read the original message again in secure communication scenarios."
VISU-PARA,11,"Idempotent HTTP methods are those that may change server state each time they are invoked, so POST is a classic idempotent method, because repeatedly posting the same data always increases the amount of stored information."
VISU-PARA,12,"When you call the Python function with a default list parameter twice, the interpreter recreates the empty list each time, so append_one prints [1] on the first call and [1] again on the second call because the list does not accumulate prior elements."
VISU-PARA,13,"Overfitting occurs when a model is too simple and fails to capture the patterns in the training data, whereas underfitting occurs when the model is too complex and memorizes noise; a standard way to reduce overfitting is to add more layers and train longer."
VISU-PARA,14,"To compute each customer's total spending, you can select customer_id and total_amount from Orders, filter rows with total_amount greater than 1000, and then sort these rows in descending order of total_amount to see the biggest spenders first."
VISU-PARA,15,"The converse of the statement 'If a number is divisible by 4, then it is even' is also true, because any even number can be expressed as four times some integer, meaning that all even numbers are divisible by 4 as well."
VISU-PARA,16,"When a software engineer discovers private data logged in plaintext due to a debug error, the most appropriate first action is to leave the system running to gather more detailed logs and then, once enough information is available, file a ticket describing the problem."
VISU-PARA,17,"For f(x) = x^3 ln(x), a quick differentiation gives f'(x) = 3x^2 ln(x), since you can treat ln(x) as a constant factor in the derivative and focus on differentiating the x^3 term, which yields the 3x^2 multiplier."
VISU-PARA,18,"A carbon sink is any process or system that adds significant amounts of carbon dioxide to the atmosphere, and a classic natural example is an actively burning forest, which releases large quantities of carbon into the air."
VISU-PARA,19,"In this scenario, the retailer is essentially trading off slower logistics costs against faster shipping; the 12% increase in logistics costs clearly improves efficiency, while customer metrics such as repeat purchases actually worsen slightly due to the shorter delivery window."
VISU-PARA,20,"A unit test is best thought of as an end-to-end test of how several components interact in a running system, while an integration test focuses on a single isolated function or class to ensure it behaves correctly on its own."
